iter	Passed	Remaining
846	74261	13414
847	74301	13318
848	74342	13222
849	74382	13126
850	74421	13030
851	74460	12934
852	74501	12839
853	74541	12743
854	74581	12648
855	74622	12553
856	74661	12458
857	74699	12362
858	74738	12267
859	74777	12173
860	74815	12078
861	74854	11983
862	74891	11888
863	74930	11794
864	74969	11700
865	75020	11608
866	75061	11514
867	75102	11421
868	75143	11327
869	75187	11234
870	75228	11141
871	75273	11049
872	75311	10955
873	75349	10862
874	75389	10769
875	75428	10677
876	75468	10584
877	75509	10492
878	75547	10399
879	75588	10307
880	75627	10215
881	75668	10123
882	75708	10031
883	75747	9939
884	75790	9848
885	75836	9757
886	75879	9666
887	75924	9576
888	75967	9485
889	76013	9394
890	76060	9304
891	76106	9214
892	76155	9124
893	76211	9036
894	76265	8947
895	76316	8858
896	76362	8768
897	76406	8678
898	76447	8588
899	76494	8499
900	76536	8409
901	76577	8319
902	76620	8230
903	76662	8141
904	76707	8052
905	76752	7963
906	76794	7874
907	76836	7785
908	76877	7696
909	76923	7607
910	76971	7519
911	77015	7431
912	77067	7343
913	77115	7255
914	77165	7168
915	77214	7080
916	77275	6994
917	77327	6907
918	77377	6819
919	77442	6734
920	77505	6648
921	77560	6561
922	77616	6475
923	77668	6388
924	77719	6301
925	77775	6215
926	77823	6128
927	77874	6041
928	77929	5955
929	77980	5869
930	78027	5782
931	78075	5696
932	78121	5610
933	78170	5523
934	78218	5437
935	78268	5351
936	78316	5265
937	78361	5179
938	78409	5093
939	78453	5007
940	78501	4922
941	78548	4836
942	78595	4750
943	78643	4665
944	78690	4579
945	78751	4495
946	78799	4410
947	78845	4324
948	78892	4239
949	78936	4154
950	78983	4069
951	79028	3984
952	79071	3899
953	79117	3814
954	79203	3732
955	79253	3647
956	79309	3563
957	79360	3479
958	79421	3395
959	79482	3311
960	79533	3227
961	79578	3143
962	79623	3059
963	79670	2975
964	79713	2891
965	79758	2807
966	79801	2723
967	79844	2639
968	79889	2555
969	79932	2472
970	79977	2388
971	80032	2305
972	80095	2222
973	80144	2139
974	80193	2056
975	80238	1973
976	80283	1889
977	80328	1806
978	80377	1724
979	80429	1641
980	80479	1558
981	80530	1476
982	80582	1393
983	80634	1311
984	80680	1228
985	80726	1146
986	80774	1063
987	80819	981
988	80865	899
989	80911	817
990	80957	735
991	81003	653
992	81050	571
993	81098	489
994	81151	407
995	81199	326
996	81251	244
997	81298	162
998	81345	81
999	81392	0
2765	4872
967	142877	4723
968	143007	4575
969	143133	4426
970	143268	4278
971	143407	4131
972	143538	3983
973	143670	3835
974	143810	3687
975	143920	3539
976	144041	3390
977	144160	3242
978	144280	3094
979	144411	2947
980	144537	2799
981	144673	2651
982	144760	2503
983	144886	2355
984	145009	2208
985	145158	2061
986	145293	1913
987	145423	1766
988	145528	1618
989	145625	1470
990	145728	1323
991	145849	1176
992	145958	1028
993	146076	881
994	146173	734
995	146288	587
996	146395	440
997	146500	293
998	146628	146
999	146787	0
